4410,162.1,-47.2
4420,161.4,-47.2
4430,160.8,-47.2
4440,160.2,-47.2
4450,159.6,-47.2
4460,158.9,-47.2
4470,158.3,-47.2
4480,157.7,-47.2
4490,157.1,-47.2
4500,156.4,-47.2
4510,155.8,-47.2
4520,155.2,-47.2
4530,154.6,-47.2
4540,153.9,-47.2
4550,153.3,-47.2
4560,152.7,-47.2
4570,152.1,-47.1
4580,151.4,-47.1
4590,150.8,-47.1
4600,150.2,-47.1
4610,149.6,-47.1
4620,148.9,-47.1
4630,148.3,-47.1
4640,147.7,-47
4650,147.1,-47
4660,146.4,-47
4670,145.8,-47
4680,145.2,-47
4690,144.6,-46.9
4700,143.9,-46.9
4710,143.3,-46.9
4720,142.7,-46.9
4730,142.1,-46.8
4740,141.5,-46.8
4750,140.8,-46.8
4760,140.2,-46.8
4770,139.6,-46.7
4780,139,-46.7
4790,138.3,-46.7
4800,137.7,-46.7
4810,137.1,-46.6
4820,136.5,-46.6
4830,135.9,-46.6
4840,135.2,-46.5
4850,134.6,-46.5
4860,134,-46.5
4870,133.4,-46.4
4880,132.8,-46.4
4890,132.1,-46.4
4900,131.5,-46.3
4910,130.9,-46.3
4920,130.3,-46.2
4930,129.7,-46.2
4940,129,-46.2
4950,128.4,-46.1
4960,127.8,-46.1
4970,127.2,-46
4980,126.6,-46
4990,126,-46
5000,125.3,-45.9
5010,124.7,-45.9
5020,124.1,-45.8
5030,123.5,-45.8
5040,122.9,-45.7
5050,122.3,-45.7
5060,121.6,-45.7
5070,121,-45.6
5080,120.4,-45.6
5090,119.8,-45.5
5100,119.2,-45.5
5110,118.6,-45.4
5120,117.9,-45.4
5130,117.3,-45.3
5140,116.7,-45.3
5150,116.1,-45.2
5160,115.5,-45.2
5170,114.9,-45.1
5180,114.3,-45.1
5190,113.6,-45
5200,113,-45
5210,112.4,-44.9
5220,111.8,-44.9
5230,111.2,-44.8
5240,110.6,-44.8
5250,110,-44.7
5260,109.3,-44.7
5270,108.7,-44.6
5280,108.1,-44.5
5290,107.5,-44.5
5300,106.9,-44.4
5310,106.3,-44.4
5320,105.7,-44.3
5330,105.1,-44.3
5340,104.5,-44.2
5350,103.8,-44.2
5360,103.2,-44.1
5370,102.6,-44
5380,102,-44
5390,101.4,-43.9
5400,100.8,-43.9
5410,100.2,-43.8
5420,99.6,-43.8
5430,99,-43.7
5440,98.3,-43.6
5450,97.7,-43.6
5460,97.1,-43.5
5470,96.5,-43.5
5480,95.9,-43.4
5490,95.3,-43.4
5500,94.7,-43.3
5510,94.1,-43.2
5520,93.5,-43.2
5530,92.8,-43.1
5540,92.2,-43.1
5550,91.6,-43
5560,91,-42.9
5570,90.4,-42.9
5580,89.8,-42.8
5590,89.2,-42.8
5600,88.6,-42.7
5610,88,-42.7
5620,87.3,-42.6
5630,86.7,-42.5
5640,86.1,-42.5
5650,85.5,-42.4
5660,84.9,-42.4
5670,84.3,-42.3
5680,83.7,-42.3
5690,83.1,-42.2
5700,82.5,-42.1
5710,81.8,-42.1
5720,81.2,-42
5730,80.6,-42
5740,80,-41.9
5750,79.4,-41.9
5760,78.8,-41.8
5770,78.2,-41.7
5780,77.6,-41.7
5790,77,-41.6
5800,76.3,-41.6
5810,75.7,-41.5
5820,75.1,-41.5
5830,74.5,-41.4
5840,73.9,-41.4
5850,73.3,-41.3
5860,72.7,-41.3
5870,72,-41.2
5880,71.4,-41.1
5890,70.8,-41.1
5900,70.2,-41
5910,69.6,-41
5920,69,-40.9
5930,68.4,-40.9
5940,67.8,-40.8
5950,67.1,-40.8
5960,66.5,-40.7
5970,65.9,-40.7
5980,65.3,-40.6
5990,64.7,-40.6
6000,64.1,-40.5
6010,63.4,-40.5
6020,62.8,-40.5
6030,62.2,-40.4
6040,61.6,-40.4
6050,61,-40.3
6060,60.4,-40.3
6070,59.7,-40.2
6080,59.1,-40.2
6090,58.5,-40.1
6100,57.9,-40.1
6110,57.3,-40.1
6120,56.7,-40
6130,56,-40
6140,55.4,-39.9
6150,54.8,-39.9
6160,54.2,-39.9
6170,53.6,-39.8
6180,52.9,-39.8
6190,52.3,-39.7
6200,51.7,-39.7
6210,51.1,-39.7
6220,50.5,-39.6
6230,49.8,-39.6
6240,49.2,-39.6
6250,48.6,-39.5
6260,48,-39.5
6270,47.4,-39.5
6280,46.7,-39.4
6290,46.1,-39.4
6300,45.5,-39.4
6310,44.9,-39.3
6320,44.2,-39.3
6330,43.6,-39.3
6340,43,-39.3
6350,42.4,-39.2
6360,41.8,-39.2
6370,41.1,-39.2
6380,40.5,-39.2
6390,39.9,-39.1
6400,39.3,-39.1
6410,38.6,-39.1
6420,38,-39.1
6430,37.4,-39.1
6440,36.8,-39
6450,36.1,-39
6460,35.5,-39
6470,34.9,-39
6480,34.3,-39
6490,33.6,-39
6500,33,-38.9
6510,32.4,-38.9
6520,31.8,-38.9
6530,31.1,-38.9
6540,30.5,-38.9
